row_id,zip,week,week_start_date,week_end_date,absolute_week,tests,cases,deaths,population
60615-2021-21,60615.0,21,2021-05-23,2021-05-29,64.0,1266.0,11.0,0.0,41563
60617-2020-37,60617.0,37,2020-09-06,2020-09-12,27.0,958.0,42.0,1.0,82534
60617-2020-38,60617.0,38,2020-09-13,2020-09-19,28.0,1047.0,70.0,1.0,82534
60617-2020-40,60617.0,40,2020-09-27,2020-10-03,30.0,1185.0,87.0,1.0,82534
60617-2020-41,60617.0,41,2020-10-04,2020-10-10,31.0,1474.0,115.0,0.0,82534
60617-2020-51,60617.0,51,2020-12-13,2020-12-19,41.0,2376.0,233.0,5.0,82534
60617-2021-1,60617.0,1,2021-01-03,2021-01-09,44.0,2101.0,245.0,2.0,82534
60617-2021-3,60617.0,3,2021-01-17,2021-01-23,46.0,1849.0,161.0,2.0,82534
60601-2021-51,60601.0,51,2021-12-19,2021-12-25,94.0,2850.0,363.0,0.0,14675
60601-2021-52,60601.0,52,2021-12-26,2022-01-01,95.0,1366.0,197.0,1.0,14675
60602-2021-52,60602.0,52,2021-12-26,2022-01-01,95.0,126.0,32.0,0.0,1244
60603-2021-46,60603.0,46,2021-11-14,2021-11-20,89.0,246.0,1.0,0.0,1174
60603-2021-48,60603.0,48,2021-11-28,2021-12-04,91.0,270.0,2.0,0.0,1174
60604-2021-33,60604.0,33,2021-08-15,2021-08-21,76.0,257.0,3.0,0.0,782
60604-2021-32,60604.0,32,2021-08-08,2021-08-14,75.0,357.0,4.0,0.0,782
60618-2021-37,60618.0,37,2021-09-12,2021-09-18,80.0,4509.0,114.0,0.0,94395
60604-2021-34,60604.0,34,2021-08-22,2021-08-28,77.0,305.0,1.0,0.0,782
60666-2021-50,60666.0,50,2021-12-12,2021-12-18,93.0,0.0,0.0,0.0,0
60666-2021-48,60666.0,48,2021-11-28,2021-12-04,91.0,0.0,1.0,0.0,0
60604-2021-52,60604.0,52,2021-12-26,2022-01-01,95.0,197.0,42.0,0.0,782
60610-2020-37,60610.0,37,2020-09-06,2020-09-12,27.0,809.0,35.0,0.0,39019
